+----+-----+-------+
|year|value|station|
+----+-----+-------+
|1966|-49.4| 179950|
|1999|-49.0| 192830|
|1999|-49.0| 192830|
|1978|-47.7| 155940|
|1987|-47.3| 123480|
|1967|-45.4| 166870|
|1980|-45.0| 191900|
|1980|-45.0| 191900|
|1956|-45.0| 160790|
|1971|-44.3| 166870|
|1986|-44.2| 167860|
|2001|-44.0| 112530|
|1981|-44.0| 166870|
|1981|-44.0| 166870|
|1979|-44.0| 112170|
|1965|-44.0| 189780|
|1959|-43.6| 159970|
|1985|-43.4| 166870|
|1985|-43.4| 159970|
|1958|-43.0| 159970|
|2016|-42.8| 191910|
|1998|-42.7| 169860|
|2012|-42.7| 191910|
|1998|-42.7| 169860|
|1977|-42.5| 179950|
|2014|-42.5| 192840|
|1976|-42.2| 192830|
|2002|-42.2| 169860|
|1982|-42.2| 113410|
|2011|-42.0| 179960|
|1950|-42.0| 155910|
|1962|-42.0| 181900|
|1962|-42.0| 181900|
|1951|-42.0| 155910|
|1968|-42.0| 179950|
|2010|-41.7| 191910|
|1996|-41.7| 155790|
|2003|-41.5| 179960|
|1969|-41.5| 181900|
|1955|-41.2| 160790|
|1963|-41.0| 181900|
|2007|-40.7| 169860|
|2007|-40.7| 169860|
|2013|-40.7| 179960|
|2006|-40.6| 169860|
|1994|-40.5| 179960|
|1997|-40.2| 179960|
|1960|-40.0| 155910|
|1960|-40.0| 167710|
|1960|-40.0| 160790|
|1988|-39.9| 170790|
|2015|-39.9| 179960|
|2004|-39.7| 166940|
|1970|-39.6| 179950|
|1964|-39.5| 166810|
|1961|-39.5| 181900|
|2005|-39.4| 155790|
|1973|-39.3| 166870|
|2008|-39.3| 179960|
|2008|-39.3| 179960|
|1991|-39.3| 179960|
|1984|-39.2| 123480|
|1984|-39.2| 191900|
|1993|-39.0| 191900|
|2009|-38.5| 179960|
|1953|-38.4| 183760|
|1983|-38.2| 191900|
|1989|-38.2| 166870|
|1957|-37.8| 159970|
|2000|-37.6| 169860|
|1995|-37.6| 182910|
|1972|-37.5| 167860|
|1975|-37.0| 157860|
|1992|-36.1| 179960|
|1954|-36.0| 113410|
|1974|-35.6| 179950|
|1974|-35.6| 166870|
|1952|-35.5| 192830|
|1990|-35.0| 147270|
|1990|-35.0| 166870|
|1949|-35.0| 167980|
|1942|-32.4|  66120|
|1947|-32.0| 139570|
|1948|-30.0| 139570|
|1945|-26.3| 139570|
|1946|-26.0| 139570|
|1941|-21.0| 108320|
|1943|-13.5| 108320|
|1944|-10.4| 108320|
+----+-----+-------+

+----+-----+-------+
|year|value|station|
+----+-----+-------+
|1943| 27.3| 108320|
|1962| 27.4|  76380|
|1962| 27.4|  86200|
|1942| 27.7| 108320|
|1965| 28.5| 116500|
|1951| 28.5|  75040|
|1944| 29.1| 108320|
|1998| 29.2|  63600|
|1946| 29.3|  53770|
|1950| 29.4|  75040|
|1960| 29.4| 173810|
|1967| 29.5|  75040|
|1984| 29.5| 105370|
|1987| 29.6|  98210|
|1987| 29.6| 105410|
|1987| 29.6|  96310|
|1993| 29.7| 132030|
|1981| 29.7|  65160|
|1957| 29.8|  75040|
|1985| 29.8|  85450|
|1949| 29.8|  76470|
|2004| 30.2| 117160|
|2004| 30.2| 117160|
|1990| 30.2|  54330|
|1990| 30.2|  76000|
|1990| 30.2|  63340|
|1952| 30.4| 106100|
|1980| 30.4|  92400|
|1980| 30.4| 161790|
|1954| 30.5|  53650|
|1974| 30.6| 167710|
|1974| 30.6| 183980|
|1978| 30.8|  71470|
|1996| 30.8|  98210|
|1996| 30.8|  96140|
|1995| 30.8|  76420|
|1958| 30.8| 117160|
|1963| 31.0|  62410|
|1961| 31.0|  76000|
|2016| 31.0|  75250|
|1976| 31.1|  75040|
|1972| 31.2|  97260|
|1972| 31.2|  98200|
|1972| 31.2| 137100|
|1971| 31.2|  65130|
|1964| 31.2|  76430|
|2012| 31.3|  54990|
|2009| 31.5|  81370|
|2013| 31.6|  98210|
|1977| 31.8|  94180|
|1997| 31.8|  76420|
|1997| 31.8|  74180|
|2001| 31.9|  62400|
|1969| 32.0|  71470|
|1941| 32.0| 108320|
|1969| 32.0|  97260|
|1979| 32.0|  63600|
|2005| 32.1| 107140|
|2008| 32.2|  95130|
|2003| 32.2| 136420|
|2007| 32.2|  86420|
|1955| 32.2|  97260|
|1953| 32.2|  65160|
|2008| 32.2|  82090|
|2008| 32.2|  82090|
|1973| 32.2|  71470|
|2008| 32.2| 102390|
|1999| 32.4|  98210|
|1948| 32.4|  53770|
|2011| 32.5| 172770|
|1988| 32.6| 102540|
|2006| 32.7|  75240|
|1991| 32.7| 137040|
|1959| 32.8|  65160|
|1956| 33.0| 145340|
|2000| 33.0|  62400|
|2015| 33.1| 125170|
|1970| 33.2| 103080|
|1986| 33.2|  76470|
|2002| 33.3|  78290|
|1983| 33.3|  98210|
|2002| 33.3|  78290|
|1945| 33.4|  85600|
|1966| 33.5| 151640|
|1968| 33.7| 137100|
|1982| 33.8|  94050|
|1989| 33.9|  63050|
|1947| 34.3|  53770|
|1947| 34.3|  53770|
|2014| 34.4|  96560|
|2010| 34.4|  75250|
|1994| 34.7| 117160|
|1992| 35.4|  63600|
|1975| 36.1|  86200|
+----+-----+-------+
