+----+-----+------+
|year|month| count|
+----+-----+------+
|1950|   12|     1|
|2001|   03|     1|
|1964|   02|     1|
|1943|   03|     1|
|1948|   11|     1|
|1946|   02|     1|
|1975|   12|     1|
|1963|   03|     1|
|1991|   02|     1|
|1952|   02|     1|
|1979|   01|     1|
|1942|   01|     1|
|1963|   12|     1|
|1958|   01|     1|
|1960|   01|     1|
|1951|   02|     1|
|1949|   02|     1|
|1971|   02|     1|
|1954|   02|     1|
|1970|   01|     1|
|1958|   02|     1|
|1999|   12|     1|
|1970|   03|     1|
|1952|   11|     1|
|1960|   02|     2|
|2005|   12|     2|
|1957|   02|     2|
|1972|   01|     2|
|1950|   11|     2|
|1945|   11|     2|
|1962|   02|     2|
|1970|   12|     2|
|1944|   04|     2|
|1955|   03|     2|
|1984|   01|     2|
|1952|   03|     2|
|1960|   12|     2|
|1962|   03|     2|
|1995|   02|     2|
|1993|   12|     2|
|1941|   04|     2|
|1968|   01|     3|
|1955|   01|     3|
|1990|   01|     3|
|1988|   11|     3|
|1959|   01|     3|
|1984|   03|     3|
|1956|   02|     3|
|1996|   03|     3|
|1956|   01|     3|
|1955|   02|     3|
|1991|   01|     3|
|2003|   02|     4|
|1954|   01|     4|
|1946|   03|     4|
|2014|   12|     5|
|1980|   03|     5|
|1958|   03|     5|
|1958|   12|     5|
|1993|   11|     5|
|1997|   02|     6|
|1998|   01|     6|
|1957|   12|     6|
|1942|   04|     7|
|1987|   12|     7|
|1973|   02|     7|
|2006|   03|     7|
|1957|   01|     7|
|1951|   12|     8|
|1993|   01|     9|
|1990|   12|     9|
|1954|   12|     9|
|2004|   02|     9|
|2007|   12|     9|
|2000|   02|     9|
|1953|   02|    11|
|1983|   12|    11|
|1988|   01|    12|
|2013|   02|    12|
|1967|   12|    13|
|1947|   11|    13|
|1984|   12|    13|
|1956|   11|    13|
|1961|   12|    14|
|1943|   04|    14|
|1991|   12|    15|
|1949|   11|    15|
|1988|   03|    16|
|1974|   02|    17|
|1974|   12|    18|
|1992|   02|    19|
|1979|   03|    21|
|1948|   03|    22|
|2013|   12|    24|
|1956|   12|    24|
|1983|   03|    26|
|2001|   02|    27|
|1977|   12|    29|
|1986|   03|    31|
|1945|   03|    31|
|1971|   01|    32|
|1989|   12|    32|
|1955|   12|    32|
|2015|   02|    32|
|1946|   10|    33|
|1993|   02|    33|
|1975|   02|    33|
|1971|   03|    33|
|1985|   11|    34|
|2013|   03|    34|
|1972|   12|    35|
|2014|   02|    35|
|1947|   04|    35|
|1958|   11|    36|
|1973|   01|    37|
|1976|   02|    39|
|1954|   11|    39|
|1944|   05|    40|
|1942|   05|    43|
|1979|   11|    44|
|1975|   01|    48|
|1959|   11|    50|
|1959|   02|    50|
|1946|   04|    51|
|1941|   05|    55|
|1941|   10|    56|
|1942|   10|    57|
|1966|   03|    58|
|1944|   10|    59|
|1948|   10|    60|
|1987|   03|    65|
|1992|   01|    68|
|1995|   11|    69|
|1983|   01|    71|
|1971|   12|    73|
|1964|   11|    73|
|1976|   03|    75|
|1945|   04|    76|
|1960|   03|    78|
|1948|   04|    79|
|1945|   10|    79|
|1964|   03|    79|
|1954|   03|    86|
|1975|   03|    87|
|1964|   12|    88|
|1955|   11|    89|
|1989|   01|    90|
|1963|   11|    93|
|1950|   03|    97|
|1943|   05|    97|
|1951|   11|   101|
|2008|   02|   101|
|1961|   02|   108|
|1974|   11|   112|
|1943|   10|   117|
|1970|   11|   118|
|1995|   03|   119|
|1994|   12|   122|
|1960|   11|   130|
|1947|   10|   131|
|1976|   11|   133|
|2002|   02|   141|
|1946|   05|   148|
|1945|   09|   150|
|1942|   06|   159|
|1949|   03|   159|
