+----+-----+-----+
|year|month|count|
+----+-----+-----+
|1949|   02|    1|
|2001|   03|    1|
|1964|   02|    1|
|1999|   12|    1|
|1948|   11|    1|
|1952|   11|    1|
|1950|   12|    1|
|1945|   11|    1|
|1952|   02|    1|
|2005|   12|    1|
|1958|   01|    1|
|1942|   01|    1|
|1960|   01|    1|
|1963|   12|    1|
|1963|   03|    1|
|1975|   12|    1|
|1946|   02|    1|
|1979|   01|    1|
|1972|   01|    1|
|1991|   02|    1|
|1955|   03|    1|
|1970|   01|    1|
|1958|   02|    1|
|1951|   02|    1|
|1971|   02|    1|
|1993|   11|    1|
|1954|   02|    1|
|1991|   01|    1|
|1970|   03|    1|
|1943|   03|    1|
|1941|   04|    1|
|1941|   07|    2|
|1968|   01|    2|
|1941|   09|    2|
|1957|   01|    2|
|1944|   09|    2|
|1946|   10|    2|
|1943|   07|    2|
|1957|   02|    2|
|1942|   07|    2|
|1941|   10|    2|
|1944|   04|    2|
|1942|   06|    2|
|1947|   04|    2|
|1944|   06|    2|
|1962|   02|    2|
|1997|   02|    2|
|1944|   07|    2|
|1946|   04|    2|
|1970|   12|    2|
|1944|   05|    2|
|1993|   12|    2|
|1943|   10|    2|
|1950|   11|    2|
|1988|   01|    2|
|1942|   10|    2|
|1943|   08|    2|
|1942|   09|    2|
|1941|   08|    2|
|1943|   04|    2|
|1942|   05|    2|
|1942|   08|    2|
|1941|   06|    2|
|1960|   12|    2|
|1995|   02|    2|
|1944|   08|    2|
|1956|   02|    2|
|1941|   05|    2|
|1942|   04|    2|
|1984|   01|    2|
|1943|   06|    2|
|1952|   03|    2|
|1962|   03|    2|
|1946|   03|    2|
|1944|   10|    2|
|1943|   09|    2|
|1943|   05|    2|
|1947|   11|    2|
|1960|   02|    2|
|1948|   03|    3|
|1955|   01|    3|
|1946|   05|    3|
|1947|   08|    3|
|1948|   07|    3|
|1945|   09|    3|
|2014|   12|    3|
|1948|   10|    3|
|1946|   08|    3|
|2003|   02|    3|
|1946|   07|    3|
|1988|   11|    3|
|1945|   10|    3|
|1946|   06|    3|
|1947|   07|    3|
|1987|   12|    3|
|1990|   01|    3|
|1947|   10|    3|
|1959|   01|    3|
|1948|   08|    3|
|1947|   06|    3|
|1984|   03|    3|
|1946|   09|    3|
|1947|   05|    3|
|1955|   02|    3|
|1996|   03|    3|
|1956|   01|    3|
|1948|   09|    3|
|1957|   12|    4|
|1945|   04|    4|
|1998|   01|    4|
|1945|   08|    4|
|1948|   04|    4|
|1948|   05|    4|
|1958|   03|    4|
|1948|   06|    4|
|1956|   11|    4|
|1947|   09|    4|
|1983|   12|    4|
|1954|   01|    4|
|1980|   03|    4|
|1945|   03|    4|
|2006|   03|    5|
|1945|   07|    5|
|1990|   12|    5|
|2004|   02|    5|
|1945|   06|    5|
|1945|   05|    5|
|2007|   12|    5|
|2000|   02|    5|
|1958|   12|    5|
|1993|   01|    6|
|1973|   02|    6|
|2013|   02|    6|
|1954|   12|    7|
|1951|   12|    7|
|1992|   02|    8|
|1953|   02|    8|
|1974|   12|    9|
|1991|   12|    9|
|2013|   03|    9|
|1984|   12|   10|
|1988|   03|   10|
|1989|   12|   10|
|1974|   02|   10|
|1956|   12|   11|
|2001|   02|   11|
|1961|   12|   12|
|1967|   12|   13|
|1955|   12|   13|
|1949|   11|   13|
|2013|   12|   13|
|1979|   03|   14|
|1972|   12|   14|
|1977|   12|   15|
|2015|   02|   15|
|1958|   11|   16|
|2014|   02|   16|
|1971|   03|   18|
|1983|   03|   18|
|1975|   01|   18|
|1986|   03|   19|
|1975|   02|   19|
|1960|   03|   20|
|1985|   11|   20|
|1993|   02|   20|
|1960|   11|   20|
|1959|   02|   21|
|1994|   12|   21|
|1971|   01|   23|
|1973|   01|   24|
|1959|   11|   24|
|1949|   03|   25|
|1955|   11|   26|
|1954|   11|   26|
|2008|   02|   27|
|1950|   03|   27|
|1995|   11|   27|
|1992|   01|   28|
|1963|   11|   29|
|1976|   02|   29|
|1951|   11|   29|
|1989|   01|   29|
|1979|   11|   30|
|2002|   02|   32|
|1964|   12|   32|
|1949|   04|   35|
|1974|   11|   35|
|1971|   12|   36|
|1954|   03|   36|
|1987|   03|   36|
|1983|   01|   36|
|2005|   01|   37|
|1975|   03|   37|
|1964|   11|   37|
|1950|   04|   37|
|1991|   11|   39|
|1949|   10|   42|
|1976|   11|   42|
|1949|   05|   43|
|2000|   12|   44|
|1953|   11|   45|
|1949|   06|   45|
|1989|   02|   46|
|1950|   10|   46|
|1950|   05|   46|
|1992|   11|   47|
|1950|   06|   47|
|1966|   03|   47|
|1970|   11|   47|
|1949|   08|   48|
|1949|   09|   48|
|1949|   07|   48|
|1950|   08|   49|
|1950|   07|   49|
|1987|   11|   50|
|1950|   09|   50|
|1964|   03|   50|
|1979|   12|   51|
|2009|   03|   51|
|1981|   11|   53|
|2007|   01|   53|
|2010|   11|   55|
|1976|   03|   57|
|1961|   02|   59|
|1957|   11|   60|
|2012|   11|   60|
|1998|   02|   62|
|2012|   02|   62|
|1953|   12|   62|
|1995|   03|   65|
|1959|   03|   66|
|2011|   12|   66|
|1952|   10|   67|
|1956|   03|   67|
|1954|   04|   68|
|2010|   03|   68|
|1986|   12|   70|
|1990|   11|   71|
|1980|   11|   71|
|1957|   03|   72|
|2008|   03|   75|
|1966|   11|   76|
|1953|   03|   79|
|1965|   11|   79|
|1992|   03|   79|
|1958|   04|   81|
|1997|   11|   81|
|1955|   04|   83|
|1962|   11|   85|
|2003|   11|   86|
|1956|   04|   88|
|1968|   11|   88|
|1951|   04|   89|
|1994|   03|   92|
|1957|   10|   93|
|1954|   10|   93|
|2000|   11|   96|
|1951|   05|   99|
|1960|   04|  100|
|2011|   03|  105|
