===============================================================================
+----+-----+-------+--------------------+                                                                                                                                                       
|year|month|station|          avg(value)|
+----+-----+-------+--------------------+
|2014|   06| 102170|  14.443333333333333|
|2014|   04| 102170|   4.776666666666668|                                                                                                                                                       
|2013|   12| 102170|  0.7096774193548391|                                                                                                                                                       
|2014|   03| 102170|   1.896774193548387|
|2014|   08| 102170|  13.869354838709679|
|2014|   07| 102170|   19.65967741935484|                                                                                                                                                       
|2014|   11| 102170|  2.5250000000000004|
|2014|   01| 102170|  -4.106451612903225|                                                                                                                                                       
|2014|   09| 102170|   8.584999999999999|
|2014|   02| 102170|  0.6749999999999999|                                                                                                                                                       
|2014|   05| 102170|  10.756451612903229|                                                                                                                                                       
|2013|   11| 102170|-0.05166666666666...|
|2014|   12| 102170|  -5.801612903225806|                                                                                                                                                       
|2014|   10| 102170|   7.106451612903227|
|1977|   04| 102190|  0.9816666666666662|
|1965|   04| 102190|  3.7177777777777763|                                                                                                                                                       
|1973|   03| 102190|  2.2315217391304345|
|2003|   02| 102190|  -6.316071428571429|
|2003|   07| 102190|   17.77741935483871|
|2003|   12| 102190|  -2.601612903225807|                                                                                                                                                       
|1978|   11| 102190|   2.015000000000001|
|2001|   09| 102190|   8.938333333333334|                                                                                                                                                       
|1974|   06| 102190|   14.31777777777778|
|2006|   10| 102190|   5.911290322580647|
