===============================================================================
+----+-----+------------------+
|year|month|   avg(sum(value))|
+----+-----+------------------+
|1993|   04|               0.0|
|1993|   05|21.100000000000005|
|1993|   06|              56.5|
|1993|   07| 95.39999999999999|
|1993|   08| 80.70000000000005|
|1993|   09|              40.6|
|1993|   10|              43.2|
|1993|   11| 42.80000000000003|
|1993|   12| 37.10000000000003|
|1994|   01|22.099999999999994|
|1994|   02|22.500000000000004|
|1994|   03| 37.60000000000004|
|1994|   04|23.100000000000005|
|1994|   05|25.100000000000005|                                                                                                                                                                 |1994|   06| 45.10000000000002|                                                                                                                                                                 |1994|   07|               0.0|
|1994|   08| 58.80000000000002|
|1994|   09| 94.59999999999991|
|1994|   10| 33.20000000000001|
|1994|   11|15.699999999999992|
|1994|   12| 50.90000000000001|
|1995|   01| 26.00000000000001|
|1995|   02|31.800000000000004|
|1995|   03| 34.40000000000001|
|1995|   04|              61.7|
|1995|   05| 26.00000000000002|
|1995|   06| 97.19999999999987|
